phecode,aou,mgi,ukb,plus20
CM_763.143,97,382,17,0
CM_763.144,10,9,,0
CM_763.145,55,38,,0
CM_763.146,8,7,,0
CM_763.147,32,13,,0
CM_763.15,239,139,46,1
CM_763.151,44,44,,0
CM_763.152,73,33,29,1
CM_763.153,63,39,,0
CM_763.16,27,25,4,0
CM_763.17,4,1,2,0
CM_763.18,21,18,4,0
CM_763.2,1333,981,409,1
CM_763.21,143,97,18,0
CM_763.211,22,16,,0
CM_763.212,89,61,17,0
CM_763.213,23,4,4,0
CM_763.22,75,59,21,1
CM_763.221,7,7,1,0
CM_763.222,28,22,18,0
CM_763.23,1171,865,375,1
CM_763.231,214,209,48,1
CM_763.232,878,645,325,1
CM_763.233,34,26,1,0
CM_763.234,199,121,18,0
CM_763.24,7,3,,0
CM_763.3,2760,1084,841,1
CM_763.31,324,197,118,1
CM_763.32,2381,896,704,1
CM_763.33,70,46,11,0
CM_763.34,6,7,,0
CM_763.35,16,1,3,0
CM_763.36,30,28,2,0
CM_763.4,109,79,22,1
CM_763.5,76,76,10,0
CM_763.6,48,30,21,1
CM_763.7,22,23,2,0
CM_763.8,27,21,13,0
CM_763.9,417,104,43,1
CM_764,1937,1013,386,1
CM_764.1,182,218,11,0
CM_764.11,28,12,5,0
CM_764.12,72,116,1,0
CM_764.2,74,32,,0
CM_764.3,81,58,15,0
CM_764.5,537,314,273,1
CM_765,460,338,162,1
CM_765.1,42,58,33,1
CM_765.11,9,26,10,0
CM_765.2,5,3,,0
CM_765.3,3,3,,0
CM_766,2951,784,328,1
CM_766.1,1332,411,111,1
CM_766.11,68,67,22,1
CM_766.12,284,42,24,1
CM_766.13,868,192,33,1
CM_766.2,1186,183,26,1
CM_766.21,6,2,,0
CM_766.22,765,68,12,0
CM_767,1024,534,177,1
CM_767.1,191,60,19,0
CM_767.11,33,9,2,0
CM_767.12,67,22,13,0
CM_767.2,135,95,34,1
CM_767.21,40,17,20,0
CM_767.22,83,77,14,0
CM_767.3,186,74,32,1
CM_767.6,12,7,,0
CM_768,412,188,59,1
CM_768.1,268,127,32,1
CM_768.11,228,95,27,1
CM_768.12,20,22,3,0
CM_768.2,149,84,26,1
CM_768.21,65,38,18,0
CM_769,2566,1679,155,1
CM_769.1,92,53,20,1
CM_769.2,10,5,9,0
CM_769.3,9,1,,0
CM_769.4,1,2,,0
CM_769.7,1519,1122,3,0
CM_770,1077,520,216,1
CM_770.1,146,56,28,1
CM_770.11,58,21,12,0
CM_770.2,166,83,10,0
CM_770.21,21,42,1,0
CM_770.22,13,7,,0
CM_770.23,20,20,2,0
CM_770.3,11,11,,0
CM_770.4,8,5,6,0
CM_770.5,393,199,122,1
CM_771,5528,2122,362,1
CM_771.1,4692,1883,244,1
CM_771.11,232,108,31,1
CM_771.14,652,219,74,1
CM_771.2,89,3,1,0
CM_771.3,258,89,3,0
CM_771.4,556,178,113,1
CM_772,554,191,217,1
CM_772.1,261,134,130,1
CM_772.11,49,30,5,0
CM_772.2,281,56,88,1
CM_772.3,16,2,,0
CM_773,297,151,14,0
CM_773.1,155,94,,0
CM_774,81,45,35,1
CM_774.1,46,27,15,0
CM_774.2,48,24,25,1
CM_775,6,1,,0
CM_776,109,90,1,0
CM_777,272,121,62,1
CM_777.1,18,,,0
CM_778,529,1072,644,1
CV_400,8511,2426,8074,1
CV_400.1,19,9,3,0
CV_400.2,8250,2097,8036,1
CV_401,116156,41182,135113,1
CV_401.1,112681,40583,133909,1
CV_401.2,16340,3533,490,1
CV_401.6,5004,4222,243,1
CV_401.61,779,1584,23,1
CV_401.7,4201,837,,0
CV_402,,,2488,0
CV_403,16074,4797,30244,1
CV_403.1,564,215,335,1
CV_404,37942,14750,46805,1
CV_404.1,14619,6236,22254,1
CV_404.11,9658,5613,14527,1
CV_404.2,33091,12958,33352,1
CV_404.22,841,222,,0
CV_404.23,1875,449,,0
CV_406,9164,3634,2569,1
CV_406.1,7342,2518,2120,1
CV_406.11,1543,1197,750,1
CV_406.12,12,7,7,0
CV_406.16,120,86,,0
CV_406.2,767,406,166,1
CV_408,730,123,88,1
CV_410,4279,1964,1856,1
CV_410.1,1208,400,475,1
CV_410.2,2767,1409,1177,1
CV_410.3,521,245,222,1
CV_411,4854,1472,2447,1
CV_411.1,80,46,20,1
CV_411.2,3089,596,1712,1
CV_411.3,300,170,,0
CV_413,26286,7434,17313,1
CV_413.1,17515,4193,10769,1
CV_413.11,9279,2184,5364,1
CV_413.12,2610,1081,1005,1
CV_413.13,852,511,366,1
CV_413.2,11789,3946,8996,1
CV_413.21,3905,2277,4668,1
CV_413.22,5040,1761,2660,1
CV_413.3,10426,1728,6138,1
CV_413.31,81,30,21,1
CV_413.32,6382,1092,1595,1
CV_413.4,2085,262,538,1
CV_413.41,145,101,44,1
CV_413.42,1356,96,495,1
CV_413.6,2965,1930,2497,1
CV_414,11253,4433,3432,1
CV_414.1,1082,571,533,1
CV_414.11,501,278,292,1
CV_414.2,2040,1017,1307,1
CV_414.3,211,42,100,1
CV_414.5,2956,1242,729,1
CV_414.6,97,33,3,0
CV_414.7,53,25,17,0
CV_414.8,168,118,23,1
CV_414.9,395,150,,0
CV_416,50351,26186,45460,1
CV_416.1,11905,5080,6056,1
CV_416.11,7757,3341,4404,1
CV_416.12,5354,2524,1855,1
CV_416.2,18530,9287,30635,1
CV_416.21,17966,9058,6262,1
CV_416.211,10744,4828,5205,1
CV_416.212,3377,1545,971,1
